id	report_num	report	jd	company	role	score
33	103	reports/103-keyrock-2026-07-30.md	batch/jds/33.txt	Keyrock	Senior Rust Engineer	3
66	034	reports/034-unknown-2026-07-19.md	batch/jds/66.txt	unknown	Full Stack Engineer	3
114	071	reports/071-neo4j-2026-07-28.md	batch/jds/114.txt	Neo4j	Backend Software Engineer	3
134	110	reports/110-unknown-2026-07-30.md	batch/jds/134.txt	unknown	Platform Engineer	3
143	117	reports/117-vaco-by-highspring-2026-07-30.md	batch/jds/143.txt	Vaco by Highspring	Lead Software Engineer	3
149	122	reports/122-deepl-2026-07-31.md	batch/jds/149.txt	DeepL	Senior Software Engineer | Voice | Full-Stack	3
159	131	reports/131-openai-2026-07-31.md	batch/jds/159.txt	OpenAI	Software Engineer	3
183	150	reports/150-ss-c-2026-08-01.md	batch/jds/183.txt	SS&C	AI Automation Developer	3
187	154	reports/154-pharmlogic-2026-08-01.md	batch/jds/187.txt	Pharmlogic	First Engineer / Full-Stack Engineer	3
189	156	reports/156-sainsbury-s-2026-08-01.md	batch/jds/189.txt	Sainsbury's	AI Engineer	3
191	158	reports/158-seamflow-com-2026-08-03.md	batch/jds/191.txt	Seamflow.com	Forward Deployed Engineer	3
194	159	reports/159-unknown-2026-08-03.md	batch/jds/194.txt	unknown	Site Reliability Engineer	3
197	160	reports/160-stint-ltd-2026-08-03.md	batch/jds/197.txt	Stint Ltd	Forward Deployed Software Engineer	3
199	162	reports/162-a-leading-global-investment-management-f-2026-08-03.md	batch/jds/199.txt	A leading global investment management firm	Software Engineer	3
224	182	reports/182-unknown-2026-08-04.md	batch/jds/224.txt	unknown	Backend Software Engineer	3
230	187	reports/187-unknown-2026-08-06.md	batch/jds/230.txt	unknown	Java Developer	3
235	192	reports/192-acturis-2026-08-06.md	batch/jds/235.txt	Acturis	Technical Support Engineer (Reporting API & Toolkit)	3
226	184	reports/184-bending-spoons-2026-08-06.md	batch/jds/226.txt	Bending Spoons	Software Engineer (AI-Driven Product Development)	3.1
232	189	reports/189-galliford-try-2026-08-06.md	batch/jds/232.txt	Galliford Try	Data and Development Engineer	3.1
178	145	reports/145-aethexai-inc-2026-08-01.md	batch/jds/178.txt	AethexAI Inc	Junior Fullstack Engineer	3.3
